user_id,precision@5,recall@5,hit_rate@5,mrr@5,ndcg@5,ild@5
User_00004,0.0,0.0,0,0.0,0.0,0.5711810380220413
User_00252,0.0,0.0,0,0.0,0.0,0.5098934829235077
User_00322,0.0,0.0,0,0.0,0.0,0.5711810380220413
User_00624,0.0,0.0,0,0.0,0.0,0.6400293260812759
User_00638,0.0,0.0,0,0.0,0.0,0.6056482583284378
User_00953,0.0,0.0,0,0.0,0.0,0.2956132650375366
User_01035,0.0,0.0,0,0.0,0.0,0.6609241455793381
User_01124,0.0,0.0,0,0.0,0.0,0.7450128406286239
User_01163,0.0,0.0,0,0.0,0.0,0.5250027596950531
User_01248,0.2,0.2,1,0.2,0.13120507751234178,0.45865731239318847
User_01329,0.0,0.0,0,0.0,0.0,0.5098934829235077
User_01531,0.0,0.0,0,0.0,0.0,0.6552921861410141
User_01576,0.0,0.0,0,0.0,0.0,0.5394147083163261
User_01663,0.0,0.0,0,0.0,0.0,0.36855622231960294
User_01719,0.0,0.0,0,0.0,0.0,0.6861890777945518
User_01748,0.0,0.0,0,0.0,0.0,0.5640236496925354
User_01955,0.0,0.0,0,0.0,0.0,0.4006073474884033
User_02037,0.2,0.2,1,1.0,0.3391602052736161,0.5433951020240784
User_02288,0.0,0.0,0,0.0,0.0,0.5764435172080994
User_02289,0.4,0.4,1,1.0,1.0,0.0772517204284668
User_02363,0.0,0.0,0,0.0,0.0,0.6051535114645958
User_02474,0.0,0.0,0,0.0,0.0,0.4230318158864975
User_02484,0.0,0.0,0,0.0,0.0,0.4654805868864059
User_02665,0.0,0.0,0,0.0,0.0,0.469918692111969
User_02716,0.0,0.0,0,0.0,0.0,0.43043778240680697
User_02821,0.0,0.0,0,0.0,0.0,0.2956132650375366
User_03086,0.0,0.0,0,0.0,0.0,0.5894912704825401
User_03102,0.0,0.0,0,0.0,0.0,0.5098934829235077
User_03147,0.4,0.4,1,1.0,1.0,0.0772517204284668
User_03245,0.0,0.0,0,0.0,0.0,0.6531338632106781
User_03258,0.0,0.0,0,0.0,0.0,0.6531338632106781
User_03310,0.0,0.0,0,0.0,0.0,0.2692807912826538
User_03419,0.2,0.2,1,0.5,0.5296347172140421,0.11074777841567993
User_03435,0.0,0.0,0,0.0,0.0,0.5595345199108124
User_03528,0.0,0.0,0,0.0,0.0,0.65145673006773
User_03788,0.2,0.2,1,1.0,0.6843515475204855,0.5026681065559387
User_03985,0.0,0.0,0,0.0,0.0,0.6861890777945518
User_04065,0.0,0.0,0,0.0,0.0,0.2956132650375366
User_04104,0.0,0.0,0,0.0,0.0,0.7563694953918457
User_04112,0.0,0.0,0,0.0,0.0,0.7388270154595376
User_04193,0.2,0.2,1,1.0,0.5531464700081437,0.16718132495880128
User_04225,0.0,0.0,0,0.0,0.0,0.6220035016536712
User_04229,0.0,0.0,0,0.0,0.0,0.5141776978969574
User_04280,0.4,0.4,1,1.0,0.4703652827859579,0.2750225245952606
User_04302,0.0,0.0,0,0.0,0.0,0.6379737570881844
User_04519,0.0,0.0,0,0.0,0.0,0.4184564471244812
User_04605,0.0,0.0,0,0.0,0.0,0.5968872100114823
User_04701,0.0,0.0,0,0.0,0.0,0.469918692111969
User_04705,0.0,0.0,0,0.0,0.0,0.5955434530973435
User_04817,0.0,0.0,0,0.0,0.0,0.6717008724808693
User_04867,0.0,0.0,0,0.0,0.0,0.6717008724808693
User_04873,0.0,0.0,0,0.0,0.0,0.6551165372133255
User_05266,0.0,0.0,0,0.0,0.0,0.4621899247169495
User_05377,0.0,0.0,0,0.0,0.0,0.6904209166765213
User_05420,0.0,0.0,0,0.0,0.0,0.2956132650375366
User_05471,0.0,0.0,0,0.0,0.0,0.6180049896240234
User_05969,0.0,0.0,0,0.0,0.0,0.6046717435121536
User_06189,0.4,0.4,1,1.0,1.0,0.0772517204284668
User_06193,0.0,0.0,0,0.0,0.0,0.6188160285353661
User_06297,0.0,0.0,0,0.0,0.0,0.5228190213441849
User_06335,0.2,0.2,1,0.5,0.5296347172140421,0.11074777841567993
User_06404,0.0,0.0,0,0.0,0.0,0.7050702661275864
User_06409,0.0,0.0,0,0.0,0.0,0.5986913964152336
User_06517,0.2,0.2,1,0.5,0.21398626473452756,0.6946468453854322
User_06570,0.0,0.0,0,0.0,0.0,0.5304074749350548
User_06652,0.0,0.0,0,0.0,0.0,0.4184564471244812
User_06699,0.0,0.0,0,0.0,0.0,0.5272085160017014
User_06714,0.0,0.0,0,0.0,0.0,0.2956132650375366
User_06804,0.0,0.0,0,0.0,0.0,0.412648868560791
User_06812,0.0,0.0,0,0.0,0.0,0.4184564471244812
User_06827,0.0,0.0,0,0.0,0.0,0.18564506769180297
User_06836,0.0,0.0,0,0.0,0.0,0.6555132493376732
User_06917,0.0,0.0,0,0.0,0.0,0.4739160299301147
User_07014,0.0,0.0,0,0.0,0.0,0.6989033102989197
User_07130,0.0,0.0,0,0.0,0.0,0.6717008724808693
User_07186,0.0,0.0,0,0.0,0.0,0.5575967565178871
User_07426,0.0,0.0,0,0.0,0.0,0.4667289793491364
User_07458,0.4,0.4,1,1.0,0.6548086577531307,0.5217562511563301
User_07595,0.0,0.0,0,0.0,0.0,0.7134345695376396
User_07640,0.0,0.0,0,0.0,0.0,0.4184564471244812
User_07677,0.0,0.0,0,0.0,0.0,0.6249094337224961
User_07895,0.0,0.0,0,0.0,0.0,0.4184564471244812
User_07959,0.0,0.0,0,0.0,0.0,0.494269585609436
User_07968,0.2,0.2,1,0.5,0.21398626473452756,0.6991642005741596
User_08043,0.0,0.0,0,0.0,0.0,0.6731768116354943
User_08087,0.2,0.2,1,0.5,0.5296347172140421,0.11074777841567993
User_08372,0.0,0.0,0,0.0,0.0,0.5897910475730896
User_08481,0.0,0.0,0,0.0,0.0,0.5224840760231018
User_08731,0.0,0.0,0,0.0,0.0,0.5993698626756668
User_08762,0.0,0.0,0,0.0,0.0,0.3604621201753616
User_08823,0.0,0.0,0,0.0,0.0,0.7054452121257782
User_08863,0.0,0.0,0,0.0,0.0,0.5272085160017014
User_08876,0.0,0.0,0,0.0,0.0,0.2956132650375366
User_08887,0.0,0.0,0,0.0,0.0,0.491965240240097
User_08983,0.0,0.0,0,0.0,0.0,0.5250027596950531
User_09019,0.0,0.0,0,0.0,0.0,0.469918692111969
User_09235,0.0,0.0,0,0.0,0.0,0.596029731631279
User_09270,0.0,0.0,0,0.0,0.0,0.28686439990997314
User_09355,0.0,0.0,0,0.0,0.0,0.704370591044426
User_09475,0.0,0.0,0,0.0,0.0,0.5958956032991409
